Id;Question;choiceA;choiceB;choiceC;choiceD;Answer
90;Semangat kebangsaan dan rasa nasionalisme warga negara merupakan bentuk….;Identitas atau jati diri;Jati diri dan sikap;Prilaku dan tindakan;Menghargai sesama;1
91;Keberhasilan implementasi Negara Kesatuan Republik Indonesia tercermi melalui….;Sikap dan prilaku;Saling menghargai ;Hati nurani ;Gotong royong;3
92;Setiap warga negara Indonesia dan sadar bermasyarakat, berbangsa, dan bernegara diperlukan pendekatan….;Program yang teratur dan terjadwal;Terukur dan terorganisir;Tertata dan terencana;Terluar dan terbelakang;1
93;Bagaimana peran serta dalam mewujudkan asas-asas wawasan nusantara….; Memerlukan kesamaan pola pikir, sikap, dan tindakan;Keberanian, ketekunan, dan disiplin;Disiplin dan berkerja keras;Rajin beribadah;1
94;Seperti apa bentuk partisipasi siswa dalam mendukung asas wawasan nusantara….;Menjaga kebersihan lingkungan sekolah;Melakukan protes terhadap pemerintah;Mendukung persatuan;Menyibukan diri dengan kepentingan pribadi;3
95;Sebagai siswa yang paham terhadap wawasan nusantara, bagaimanakah sikap anda ketika dihadapkan dengan ancaman terhadap negara…;Mementingkan kepentingan teman;Mementingkan kepentingan keluarga;Mengutamakan kepentingan bersama;Melakukan bela negara;4
96;Ketikan negara terancam oleh pengaruh budaya dari luar, sebagai siswa yang paham wawasan nusantara tindakan apa yang anda lakukan…;Menerima semua dari budaya luar;Menolak semua budaya dari luar;Membiarkan saja;Mengambil yang positif dan menolak yang negatif;4
97;Bagaimana peran siswa dalam mewujudkan wawasan nusantara dengan perkembangan globalisasi….;Meningkatkan ilmu pengetahuan, teknologi, dan seni;Memperkuat bidang ekonomi;Meperkuat bidang politik;Memperkuat diri sendiri;1
98;Bagaimana peran siswa dalam mewujudkan wawasan nusantara dengan perkembangan globalisasi….;Mengedapankan kepentingan nasional;Mengedepankan kepentingan pribadi;Mengedepankan golongan;Mendamaikan orang yang bertengkar;1
99;Bagaimana sikap warga negara yang baik dalam mewujudkan wawasan nusantara dalam bidang hukum adalah….; Melanggar lalu lintas;Mengkonsumsi narkoba ;Mentaati dan menghormati hukum;Menghargai orang tua;3
100;Partisipasi setiap siswa di sekolah dalam bentuk kecintaan terhadap wawasan nusantara melalui….; Belajar dengan sungguh-sungguh;Malas-malasan;Bolos sekolah;Menyontek pekerjaan teman;1
